"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\APL-SMB01\Shares$"	"FullControl"	"Allow"	"Everyone"	"None"	"None"
"\\?\UNC\APL-SMB01\Shares$"	"268435456"	"Allow"	"Everyone"	"ContainerInherit, ObjectInherit"	"InheritOnly"
"\\?\UNC\APL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\NONREPLICATE\Xchange"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\NONREPLICATE\Xchange"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\NONREPLICATE\Xchange"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Xchange-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities"	"FullControl"	"Allow"	"POWERENG\FS-ALL-Facilities-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ALL-Facilities-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ALL-Facilities-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities\projects\172875\DD\ENG\Documents\Received Documents\Client\2021-0827 Carton Merger Quote\Cartoner Merger Q13716.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79847"	"None"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities\projects\Archived to PW\165577\WSBC\Accounting\Invoice\165577inv374705.pdf"	"FullControl"	"Allow"	"POWERENG\swierzba"	"None"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities\projects\_Uploaded to PW\159166\Archived\DD\CAD\dwg\vendor\Dorner\d6681441-step-1.zip"	"FullControl"	"Allow"	"POWERENG\rcieslewicz"	"None"	"None"
"\\?\UNC\APL-SMB01\Shares$\REPLICATE\Facilities\projects\_Uploaded to PW\165851\Archived\DD\ENG\Documents\Received Documents\Vendor\ASCO\FV-013\Series 8016G-H IM.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-24681"	"None"	"None"
